"English","Aleman"
"Your payment was processed correctly","Ihre Zahlung wurde erfolgreich bearbeitet"
"Error while saving the transaction","Fehler beim Speichern der Transaktion"
"Invalid Response","Ungültige Rückmeldung"
"Payment process with ","Zahlung bearbeitet durch "
"The payment was with a debit card, cancellation not allowed","Die Zahlung war mit Debitkarte, Stornierung nicht gestattet"
"The payment was with a debit card, a refund was made","Die Zahlung war mit Debitkarte, Rückerstattung erfolgt"
"Payment Denied","Zahlung abgelehnt"
"Technical error in the cancellation","Technischer Fehler während Storniervorgang"
"Are you sure you want to refund this order?","Möchten Sie diese Bestellung wirklich zurückerstatten?"
"Enable","Włącz bramkę"
"User","Benutzername"
"Password","Passwort"
"Secret Key","Tajny klucz sprzedawcy"
"Merchant Account Resolver Category","Händlerkonto 'resolver category'"
"Creditor ID", "Gläubiger ID"
"Enable Test Payments","Testzahlungen aktivieren"
"Refund Failed", "Rückerstattung fehlgeschlagen"
"Refund of the order placed ", "Rückerstattung der aufgegebenen Bestellung "
"Refund Success.", "Erfolg zurückerstatten."
"Capture placed", "Erfassen platziert"
"Refund", "Erstattung"
"Capture", "Erfassung"
"Invalid Operation","Ungültige Operation"
"Status Update","Status-Update"
"New transaction-type ->","Neuer Transaktionstyp ->"
"transaction-type ->","Art der Transaktion ->"
"Do you want to check if there are new order statuses?","Do you want to check if there are new order statuses?"
"Status updated","Stand aktualisiert"