"English","Polish"
"Your payment was processed correctly","Twoja płatność została przetworzona poprawnie"
"Error while saving the transaction","Błąd podczas zapisywania transakcji"
"Invalid Response","Niepoprawna odpowiedź"
"Payment process with ","Płatność została przetworzona przez "
"The payment was with a debit card, cancellation not allowed","Płatność została dokonana kartą debetową, anulowanie nie jest dozwolone"
"The payment was with a debit card, a refund was made","Płatność została dokonana kartą debetową, zwrot został zrealizowany"
"Payment Denied","Płatność odrzucona"
"Technical error in the cancellation","Błąd techniczny podczas anulowania"
"Are you sure you want to refund this order?","Czy na pewno chcesz zwrócić pieniądze za to zamówienie?"
"Enable","Włącz bramkę"
"User","Nazwa użytkownika"
"Password","Hasło"
"Secret Key","Włącz bramkę"
"Merchant Account Resolver Category","Resolver category kanału płatności"
"Creditor ID", "Identyfikator wierzyciela"
"Enable Test Payments","Włącz płatności testowe"
"Refund Failed", "Zwrot środków nie powiódł się"
"Refund of the order placed ", "Zwrot złożonego zamówienia"
"Refund Success.", "Udany zwrot pieniędzy."
"Capture placed", "Umieszczono ujęcie"
"Refund", "Zwrot"
"Capture", "Zdobyć"
"Invalid Operation", "Nieprawidłowa operacja"
"Status Update","Aktualizacja statusu"
"New transaction-type ->","Nowy typ transakcji ->"
"transaction-type ->","typ transakcji ->"
"Do you want to check if there are new order statuses?","Chcesz sprawdzić, czy są nowe statusy zamówień?"
"Status updated","Zaktualizowano stan"